opening_id,engine_seed,months,death_turn,surface,root_cause,doom_final,cash_m6,publish_paper,safety_research,capability_research,buy_compute,fundraise_small,fundraise_big,take_loan,apply_grant,network,audit_safety,order_supplies,team_building,media_campaign,desperation_lever,funding_strings,hire_safety_researcher,hire_capability_researcher
42,sweep-01,7,153,doom,ledger,100.0,46861,0,4,2,3,4,2,3,3,0,2,2,3,3,1,0,2,2
42,sweep-02,6,135,doom,ledger,100.0,28523,0,4,2,3,4,2,3,3,0,2,2,3,3,1,0,2,2
43,sweep-00,17,383,doom,ledger,100.0,168701,2,1,2,3,1,4,1,4,1,2,2,1,2,2,3,2,3
43,sweep-01,15,327,doom,doom,100.0,475492,2,1,2,3,1,4,1,4,1,2,2,1,2,2,3,2,3
43,sweep-02,9,211,doom,doom,100.0,505600,2,1,2,3,1,4,1,4,1,2,2,1,2,2,3,2,3
44,sweep-00,6,148,doom,ledger,100.0,166618,1,3,2,2,0,2,2,2,3,0,1,0,2,3,3,6,4
44,sweep-01,6,144,doom,ledger,100.0,141987,1,3,2,2,0,2,2,2,3,0,1,0,2,3,3,6,4
44,sweep-02,9,202,doom,doom,100.0,162733,1,3,2,2,0,2,2,2,3,0,1,0,2,3,3,6,4
45,sweep-00,8,176,doom,ledger,100.0,-7976,0,1,3,4,3,0,3,6,1,2,2,0,2,1,4,1,3
45,sweep-01,7,165,doom,ledger,100.0,-8110,0,1,3,4,3,0,3,6,1,2,2,0,2,1,4,1,3
45,sweep-02,15,333,doom,doom,100.0,3352,0,1,3,4,3,0,3,6,1,2,2,0,2,1,4,1,3
46,sweep-00,10,217,doom,ledger,100.0,8043,2,2,3,4,1,2,2,0,3,4,4,0,0,2,2,0,5
46,sweep-01,23,504,doom,doom,100.0,125175,2,2,3,4,1,2,2,0,3,4,4,0,0,2,2,0,5
46,sweep-02,15,339,doom,ledger,100.0,19488,2,2,3,4,1,2,2,0,3,4,4,0,0,2,2,0,5
47,sweep-00,8,174,doom,ledger,100.0,-2165,3,0,2,1,2,2,5,1,2,1,3,2,0,3,5,3,1
47,sweep-01,8,175,doom,ledger,100.0,8561,3,0,2,1,2,2,5,1,2,1,3,2,0,3,5,3,1
47,sweep-02,8,176,doom,ledger,100.0,-8251,3,0,2,1,2,2,5,1,2,1,3,2,0,3,5,3,1
48,sweep-00,21,464,doom,ledger,100.0,430480,3,3,3,0,5,1,2,2,1,3,3,1,3,1,4,0,1
48,sweep-01,29,634,doom,ledger,100.0,392018,3,3,3,0,5,1,2,2,1,3,3,1,3,1,4,0,1
48,sweep-02,21,466,doom,ledger,100.0,324870,3,3,3,0,5,1,2,2,1,3,3,1,3,1,4,0,1
49,sweep-00,18,410,doom,ledger,100.0,15833,3,2,3,1,4,1,1,5,3,5,2,0,0,3,0,2,1
49,sweep-01,22,487,doom,ledger,100.0,115238,3,2,3,1,4,1,1,5,3,5,2,0,0,3,0,2,1
